gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,min_fdr_for_gene
ATN1,ENSE00002282986,non_canonical,7,1,1.4281261405494544e-10,3.2383553640370297e-7,3.2383553640370297e-7
ATP1A3,ENSE00001829832,non_canonical,14,14,9.449151831595998e-7,6.288205127582972e-4,6.288205127582972e-4
ATP6V0C,ENSE00002590649,non_canonical,9,2,1.2588515191121213e-6,7.995013008933663e-4,7.995013008933663e-4
ATP7B,ENSE00003897217,non_canonical,40,57,1.0893137509676743e-9,1.862909080705165e-6,1.862909080705165e-6
ATRX,ENSE00003757706,non_canonical,10,3,1.573941445395801e-9,2.470845924433654e-6,2.470845924433654e-6
AUTS2,ENSE00003596844,non_canonical,7,17,1.0279719894053562e-6,6.75284947203364e-4,6.75284947203364e-4
BAP1,ENSE00001126025,non_canonical,4,1,6.172273472591536e-5,0.02233399947316455,0.02233399947316455
BEST1,ENSE00003553106,non_canonical,37,19,6.455352971827713e-17,4.2044950036934034e-13,4.2044950036934034e-13
BMPR1A,ENSE00004020651,non_canonical,6,8,8.173551539452829e-5,0.02820842837945095,0.02820842837945095
BMPR2,ENSE00003482012,non_canonical,19,10,7.491177357125226e-12,2.1431768341711913e-8,2.1431768341711913e-8
BPTF,ENSE00003585085,non_canonical,3,6,2.5430569417431228e-5,0.01062047191004645,0.01062047191004645
BRAF,ENSE00003819317,non_canonical,20,5,6.433360689243858e-17,4.2044950036934034e-13,4.2044950036934034e-13
BRCA1,ENSE00001847936,non_canonical,2,391,3.373269245676966e-30,1.721041969144388e-25,1.721041969144388e-25
BRCA2,ENSE00003744847,non_canonical,23,16,5.641268948198826e-23,1.0793157815141403e-18,1.0793157815141403e-18
BRIP1,ENSE00003919213,canonical,5,34,3.632338055041785e-7,2.8150160136946613e-4,2.8150160136946613e-4
BSCL2,ENSE00003921253,non_canonical,3,5,6.556117096174642e-6,0.00337648492557662,0.00337648492557662
C1R,ENSE00001712632,non_canonical,4,7,1.3146886239841674e-4,0.04174818273589557,0.04174818273589557
CACNA1A,ENSE00003795205,non_canonical,17,1,6.349544588151024e-19,6.941866390445685e-15,6.941866390445685e-15
CACNA1C,ENSE00003571437,non_canonical,5,3,4.691411849643885e-6,0.00254183185028847,0.00254183185028847
CACNA1E,ENSE00003979078,non_canonical,3,7,1.4047532976837007e-4,0.04432220031608789,0.04432220031608789
CALM2,ENSE00001585662,non_canonical,0,33,3.6800201812401116e-11,9.466619982195152e-8,9.466619982195152e-8
CAMK2A,ENSE00003916120,non_canonical,3,0,5.3906039746179575e-5,0.0200263554455103,0.0200263554455103
CAMTA1,ENSE00001317856,non_canonical,3,0,6.240224843787828e-8,6.245002298002514e-5,6.245002298002514e-5
CAPN3,ENSE00003791946,non_canonical,15,21,2.041432982792356e-8,2.3405373209453037e-5,2.3405373209453037e-5
CARD11,ENSE00001598839,non_canonical,8,15,3.328231480546811e-7,2.6057243499360346e-4,2.6057243499360346e-4
CASR,ENSE00001839573,non_canonical,20,14,6.801797006152416e-5,0.02432437032153478,0.02432437032153478
CBL,ENSE00003979906,non_canonical,10,18,2.6676683566364584e-13,1.0605540744591592e-9,1.0605540744591592e-9
CBS,ENSE00001924222,non_canonical,0,43,1.418608203554984e-6,8.898859493283847e-4,8.898859493283847e-4
CDAN1,ENSE00003816249,non_canonical,4,26,3.608911031315531e-5,0.0143475304533287,0.0143475304533287
CDC42,ENSE00003846732,non_canonical,0,15,2.3831952987977942e-5,0.00999374992969836,0.00999374992969836
CDH2,ENSE00003900152,non_canonical,6,16,2.8914583508186773e-6,0.0016924153544027,0.0016924153544027
CDK13,ENSE00003826183,non_canonical,7,4,4.788459838423277e-10,9.33658169259958e-7,9.33658169259958e-7
CDKL5,ENSE00003754933,non_canonical,23,5,8.993470248270214e-19,9.288909132686794e-15,9.288909132686794e-15
CERT1,ENSE00003823629,non_canonical,3,0,1.545739344415709e-6,9.617514799035304e-4,9.617514799035304e-4
CFH,ENSE00003965691,non_canonical,10,20,4.941513456014982e-6,0.00265851687022022,0.00265851687022022
CFTR,ENSE00003976974,non_canonical,27,40,1.7134502217893237e-6,0.00104486331054611,0.00104486331054611
CHD2,ENSE00003770198,non_canonical,15,0,3.0175927280704986e-18,2.716898487991003e-14,2.716898487991003e-14
CHD3,ENSE00003916659,non_canonical,12,1,8.458911083290146e-15,4.046002907526218e-11,4.046002907526218e-11
CHD4,ENSE00003820250,non_canonical,10,3,3.4923142334545527e-9,5.066517847340144e-6,5.066517847340144e-6
CHD7,ENSE00002150642,non_canonical,7,20,9.208683615880273e-8,8.542309783312936e-5,8.542309783312936e-5
CHD8,ENSE00003660482,non_canonical,3,4,1.0916224069852042e-4,0.03554972885386284,0.03554972885386284
CIC,ENSE00003919718,non_canonical,4,3,2.1248058635617586e-7,1.7345215225427347e-4,1.7345215225427347e-4
CLCN1,ENSE00003912307,non_canonical,15,16,1.353047295961312e-4,0.04283297189655396,0.04283297189655396
CNGA3,ENSE00001827438,non_canonical,1,46,1.1267935195431965e-5,0.00536444840128403,0.00536444840128403
COL11A1,ENSE00003788304,non_canonical,5,2,1.23257167592022e-6,7.844383397769183e-4,7.844383397769183e-4
COL1A1,ENSE00002046241,non_canonical,1,37,1.0327119892128576e-8,1.283420151758903e-5,1.283420151758903e-5
COL1A2,ENSE00001817185,canonical,2,42,1.264588713925215e-10,2.9106458429081713e-7,2.9106458429081713e-7
COL2A1,ENSE00003686490,non_canonical,20,9,9.055428857067974e-5,0.03086913008603171,0.03086913008603171
COL6A1,ENSE00002473380,canonical,12,4,5.220838010268677e-15,2.7088185283109275e-11,2.7088185283109275e-11
COL6A2,ENSE00003507459,non_canonical,17,5,3.041411459220345e-16,1.8255625017579058e-12,1.8255625017579058e-12
COL7A1,ENSE00003541804,non_canonical,28,18,1.8808524835649665e-8,2.1809339479882865e-5,2.1809339479882865e-5
CREBBP,ENSE00002640954,non_canonical,15,5,3.5548965895549372e-9,5.066517847340144e-6,5.066517847340144e-6
CRX,ENSE00001263348,canonical,0,85,3.1028968626566477e-6,0.00176553677991905,0.00176553677991905
CRYAA,ENSE00001531761,non_canonical,0,49,7.486125013039018e-6,0.00380041888721642,0.00380041888721642
CSNK2A1,ENSE00003822061,non_canonical,10,2,2.1602864317558192e-8,2.449284749959598e-5,2.449284749959598e-5
CTCF,ENSE00003824919,canonical,16,5,4.6538324388860275e-10,9.13225119353712e-7,9.13225119353712e-7
CYFIP2,ENSE00002096655,non_canonical,6,2,4.595024012571356e-6,0.00249845248797219,0.00249845248797219
DCLRE1C,ENSE00001476881,non_canonical,4,8,5.058657415045842e-5,0.01907088925977627,0.01907088925977627
DDX3X,ENSE00003824510,non_canonical,36,4,3.454152116094659e-16,2.0334327803440328e-12,2.0334327803440328e-12
DDX6,ENSE00003563747,non_canonical,5,0,2.521260529414282e-7,2.047236799109549e-4,2.047236799109549e-4
DEAF1,ENSE00002176029,non_canonical,19,10,1.998967141413016e-13,8.269240828775031e-10,8.269240828775031e-10
DHCR7,ENSE00003919809,non_canonical,18,13,2.1951787726057923e-5,0.0094115984015418,0.0094115984015418
DHDDS,ENSE00001843824,non_canonical,7,8,3.49648062463901e-13,1.2445844753656902e-9,1.2445844753656902e-9
DHX30,ENSE00003561641,non_canonical,6,7,1.0176500900812113e-5,0.00496846962640606,0.00496846962640606
DICER1,ENSE00002156924,non_canonical,18,8,2.6866550576379685e-19,3.2897553849765394e-15,3.2897553849765394e-15
DMD,ENSE00003921358,non_canonical,4,7,5.9992681291699845e-5,0.02191522624942142,0.02191522624942142
DNAH11,ENSE00003697945,canonical,4,13,1.5137840315892112e-5,0.00691641145895655,0.00691641145895655
DNAJB6,ENSE00001663093,non_canonical,6,6,5.294530318791204e-10,1.012976013242727e-6,1.012976013242727e-6
DNM1L,ENSE00003988663,non_canonical,7,2,2.6189597115002696e-5,0.0108633597138816,0.0108633597138816
DNM2,ENSE00003918527,non_canonical,5,5,9.537750719473942e-5,0.03219069735661922,0.03219069735661922
DNMT1,ENSE00002853940,non_canonical,4,5,1.0562032638212608e-7,9.604865483173604e-5,9.604865483173604e-5
DOK7,ENSE00001506478,canonical,6,32,9.047380430829736e-5,0.03086913008603171,0.03086913008603171
DPF2,ENSE00002159943,canonical,13,20,8.894196035361389e-8,8.35181377406389e-5,8.35181377406389e-5
DPY19L2,ENSE00001784419,canonical,3,16,2.022293648307484e-5,0.00876861942804372,0.00876861942804372
DSPP,ENSE00001313251,canonical,2,2,1.1718696129597552e-4,0.03796113501790902,0.03796113501790902
DYNC1H1,ENSE00003819761,non_canonical,7,7,1.4034536568270436e-6,8.821873376342805e-4,8.821873376342805e-4
EDA,ENSE00001463806,canonical,20,4,4.833181217508076e-5,0.01849416792879465,0.01849416792879465
EHMT1,ENSE00003792678,non_canonical,5,7,2.892349766130717e-5,0.01178969521182336,0.01178969521182336
EIF2B5,ENSE00001901717,non_canonical,15,26,1.4821981330918384e-5,0.00679237264224661,0.00679237264224661
ETV6,ENSE00002245284,non_canonical,4,1,1.3313362348161024e-4,0.04223302053905754,0.04223302053905754
EXT1,ENSE00003917764,non_canonical,13,9,3.9501194184114086e-8,4.141132042342809e-5,4.141132042342809e-5
EZH2,ENSE00003922375,canonical,15,7,9.652513181975818e-5,0.03250635132306312,0.03250635132306312
F8,ENSE00001311652,canonical,13,250,1.8658941820951467e-27,5.711875270229663e-23,5.711875270229663e-23
FAM50A,ENSE00001957967,canonical,4,2,3.797372218424847e-5,0.01494153706303617,0.01494153706303617
FAS,ENSE00003969327,non_canonical,18,6,6.437611945315382e-6,0.00332324075666095,0.00332324075666095
FBN1,ENSE00002265829,canonical,9,42,6.496238593960734e-10,1.1697815049313293e-6,1.1697815049313293e-6
FBN2,ENSE00002052781,non_canonical,6,12,8.925745739546561e-7,6.071887301755541e-4,6.071887301755541e-4
FBXO11,ENSE00003922358,non_canonical,6,0,6.156819681033647e-6,0.00322726993280482,0.00322726993280482
FGF13,ENSE00001124987,canonical,5,4,1.7926126432969743e-5,0.00789587993649179,0.00789587993649179
FGFR1,ENSE00002164739,non_canonical,11,6,1.897028651765853e-5,0.00834365532871498,0.00834365532871498
FGFR2,ENSE00003551993,non_canonical,19,8,5.759983077145567e-17,3.918324487946225e-13,3.918324487946225e-13
FGFR3,ENSE00003741759,non_canonical,7,9,1.479276251465644e-6,9.260450840463456e-4,9.260450840463456e-4
FH,ENSE00003919040,canonical,63,43,6.502072502152935e-9,8.691766088904177e-6,8.691766088904177e-6
FLNA,ENSE00001731840,non_canonical,6,13,1.2232621842606334e-4,0.03929328644762488,0.03929328644762488
FOXP1,ENSE00003834493,non_canonical,7,4,3.442931310118013e-7,2.6886482975850155e-4,2.6886482975850155e-4
FUS,ENSE00001821991,non_canonical,6,8,4.7795346109919634e-5,0.01835773067900702,0.01835773067900702
G6PD,ENSE00003819551,non_canonical,0,13,1.6250850954718665e-5,0.00734816912002729,0.00734816912002729
GAA,ENSE00004022676,canonical,9,104,8.616305163898272e-9,1.117637007107008e-5,1.117637007107008e-5
GABBR2,ENSE00003784767,non_canonical,8,7,2.729541576415628e-6,0.00160377594505249,0.00160377594505249
GABRA1,ENSE00002100022,non_canonical,8,2,2.912097831839348e-7,2.3397674233140717e-4,2.3397674233140717e-4
GABRA2,ENSE00002083619,non_canonical,5,2,8.0559618435723e-5,0.02786543547519042,0.02786543547519042
GABRB2,ENSE00003737234,non_canonical,26,11,8.574222315585703e-20,1.1930640614759524e-15,1.1930640614759524e-15
GABRB3,ENSE00002439631,non_canonical,16,2,2.0738998202970666e-13,8.464829506524507e-10,8.464829506524507e-10
GABRG2,ENSE00002093854,non_canonical,8,0,5.8952000710382165e-9,7.915081779588678e-6,7.915081779588678e-6
GATA2,ENSE00001949052,non_canonical,26,9,2.6042942027014397e-8,2.9095859172662945e-5,2.9095859172662945e-5
GATA3,ENSE00001381352,non_canonical,11,0,1.205428391440855e-9,2.0275040614718387e-6,2.0275040614718387e-6
GCK,ENSE00001741995,non_canonical,0,14,2.787356462988154e-7,2.2513603178098517e-4,2.2513603178098517e-4
GFAP,ENSE00003801676,non_canonical,9,6,4.741209911372433e-6,0.00256427416620022,0.00256427416620022
GLA,ENSE00003840523,non_canonical,0,35,2.4561580965731064e-16,1.5037582330459186e-12,1.5037582330459186e-12
GLB1,ENSE00003659036,non_canonical,0,31,9.715317398495392e-5,0.03253887266988412,0.03253887266988412
GLDC,ENSE00001899611,non_canonical,15,21,3.635120630110597e-6,0.00203433844111417,0.00203433844111417
GLI3,ENSE00001853445,non_canonical,4,21,7.276699388323443e-5,0.0255745489868378,0.0255745489868378
GNAI1,ENSE00003587658,non_canonical,5,1,1.0180815689557911e-4,0.03379083471851364,0.03379083471851364
GNAI3,ENSE00001781395,canonical,5,4,9.21299788299893e-6,0.00457096095939,0.00457096095939
GNAO1,ENSE00001327808,canonical,0,64,5.726459626836579e-12,1.7186115891835428e-8,1.7186115891835428e-8
GNAS,ENSE00001168840,non_canonical,2,523,1.0876821037428976e-35,8.324031139944396e-31,8.324031139944396e-31
GRIA2,ENSE00003989834,non_canonical,10,5,5.209971263569734e-10,1.0030669202540676e-6,1.0030669202540676e-6
GRIN1,ENSE00001775900,non_canonical,9,1,8.869472534984345e-9,1.1360346997528902e-5,1.1360346997528902e-5
GRIN2A,ENSE00001862908,non_canonical,8,16,3.522677339260123e-7,2.7439236312832286e-4,2.7439236312832286e-4
GRIN2B,ENSE00003709762,non_canonical,3,203,6.507440584640899e-62,1.9920577117702719e-56,1.9920577117702719e-56
GRIN2D,ENSE00001131295,canonical,7,8,8.796866535381582e-9,1.1360346997528902e-5,1.1360346997528902e-5
GUCY2C,ENSE00000722294,canonical,4,17,9.708730350025194e-5,0.03253887266988412,0.03253887266988412
H3-3B,ENSE00002949366,non_canonical,12,1,1.3333657146820985e-7,1.1796818282615144e-4,1.1796818282615144e-4
HCN1,ENSE00003798225,non_canonical,13,4,8.087147303359293e-13,2.7507083694492734e-9,2.7507083694492734e-9
HCN4,ENSE00001714815,canonical,11,18,6.750447247947669e-12,1.9494782184356043e-8,1.9494782184356043e-8
HDAC8,ENSE00003835578,non_canonical,7,1,9.947350320723544e-5,0.03320701068898464,0.03320701068898464
HECW2,ENSE00003830655,non_canonical,8,3,4.023827926905098e-9,5.598973659019039e-6,5.598973659019039e-6
HNF1A,ENSE00002281564,non_canonical,1,76,7.298841690690621e-11,1.745563608089229e-7,1.745563608089229e-7
HNRNPA1,ENSE00002356700,non_canonical,17,13,1.2268118487229145e-5,0.00575117370797945,0.00575117370797945
HR,ENSE00001813128,non_canonical,2,0,7.086669973779328e-5,0.02510846542098759,0.02510846542098759
HRAS,ENSE00001868274,non_canonical,8,2,2.8273275262853305e-5,0.01158471305612979,0.01158471305612979
HS2ST1,ENSE00003926762,non_canonical,3,7,1.04788636353976e-4,0.03449236275341842,0.03449236275341842
HSPB8,ENSE00002261512,non_canonical,3,3,1.5854865826612478e-6,9.82488163328464e-4,9.82488163328464e-4
HUWE1,ENSE00001854675,non_canonical,8,3,9.716635507270053e-7,6.410466511822217e-4,6.410466511822217e-4
ICOSLG,ENSE00003979605,non_canonical,2,0,1.2527403695584085e-4,0.04007198348267712,0.04007198348267712
IDS,ENSE00001861327,non_canonical,1,13,8.543991606745786e-6,0.0042736710958448,0.0042736710958448
IDUA,ENSE00002059526,non_canonical,9,9,1.5814339436694998e-4,0.04919802427196212,0.04919802427196212
IGF2,ENSE00003625034,non_canonical,4,15,2.083382772913128e-5,0.00896997376152133,0.00896997376152133
IHH,ENSE00001075357,canonical,11,11,5.837361466005248e-9,7.87195194701994e-6,7.87195194701994e-6
IKBKG,ENSE00001692514,non_canonical,7,0,3.7758731811285215e-10,7.554707831418714e-7,7.554707831418714e-7
IKZF1,ENSE00003600388,non_canonical,6,3,1.5134927064987351e-9,2.438475722702067e-6,2.438475722702067e-6
IMPDH1,ENSE00001903979,non_canonical,8,9,6.759773943685495e-8,6.632378203977576e-5,6.632378203977576e-5
INF2,ENSE00003903854,canonical,20,39,4.683181735723157e-12,1.4480965585248211e-8,1.4480965585248211e-8
INPP5E,ENSE00003796019,canonical,0,155,2.627620699998204e-5,0.01088453651804398,0.01088453651804398
IQSEC2,ENSE00003808418,non_canonical,5,2,8.734046367049404e-7,6.000014870992253e-4,6.000014870992253e-4
IRF6,ENSE00003516334,non_canonical,15,13,3.229720944330453e-5,0.0129748316991921,0.0129748316991921
ITPR1,ENSE00003548100,non_canonical,10,4,2.01852581380068e-9,3.1207632430336573e-6,3.1207632430336573e-6
KCNA2,ENSE00003805495,non_canonical,0,34,8.588491817551679e-6,0.00428193666968879,0.00428193666968879
KCNC2,ENSE00002336657,non_canonical,8,25,1.0393291849040545e-7,9.525732038408057e-5,9.525732038408057e-5
KCNH1,ENSE00003801206,non_canonical,14,19,4.125016327434537e-12,1.301804121808516e-8,1.301804121808516e-8
KCNH2,ENSE00001875160,non_canonical,44,32,2.6685564051465535e-19,3.2897553849765394e-15,3.2897553849765394e-15
KCNN2,ENSE00003534801,non_canonical,4,1,8.004286804963461e-9,1.0426690539299636e-5,1.0426690539299636e-5
KCNQ1,ENSE00004020984,canonical,21,3,1.1768015277863054e-11,3.216450747195927e-8,3.216450747195927e-8
KCNQ2,ENSE00004020495,canonical,40,2,4.070331642261917e-22,7.329470131348339e-18,7.329470131348339e-18
KCNQ3,ENSE00003621322,non_canonical,4,8,1.0249034774563732e-5,0.00498005480188801,0.00498005480188801
KCNQ4,ENSE00003677491,non_canonical,9,7,9.595629812365235e-11,2.259549383200959e-7,2.259549383200959e-7
KCNT1,ENSE00003903583,non_canonical,10,8,3.55841283541791e-9,5.066517847340144e-6,5.066517847340144e-6
KCTD1,ENSE00002688710,canonical,2,2,5.634278953150979e-5,0.02083050088331615,0.02083050088331615
KDM3B,ENSE00003526737,canonical,4,4,2.2382269106502707e-5,0.00955601146287672,0.00955601146287672
KDM5C,ENSE00001466943,non_canonical,0,60,1.530833868490922e-6,9.544172379275786e-4,9.544172379275786e-4
KIF1A,ENSE00003840655,non_canonical,6,2,7.201113298114397e-11,1.735751813243133e-7,1.735751813243133e-7
KIF5C,ENSE00003904957,non_canonical,3,2,2.5919225326193493e-6,0.00153173614997188,0.00153173614997188
KIT,ENSE00002043186,non_canonical,4,8,1.5701823818307775e-5,0.00715274152866127,0.00715274152866127
KMT2B,ENSE00002213924,non_canonical,3,3,7.230570115888056e-5,0.02544163360776611,0.02544163360776611
KMT2D,ENSE00003925826,non_canonical,2,366,4.4977106271899615e-9,6.201978275654915e-6,6.201978275654915e-6
KRAS,ENSE00001189807,canonical,2,15,3.5502755471231146e-5,0.01413277438862585,0.01413277438862585
KRT5,ENSE00002412542,non_canonical,12,25,1.3988277516110709e-5,0.00646841618312962,0.00646841618312962
KRT6A,ENSE00002401911,non_canonical,4,8,1.9340530421798316e-5,0.00848212488928495,0.00848212488928495
LDLR,ENSE00002572374,non_canonical,53,26,1.9521261174370127e-10,4.268463193355845e-7,4.268463193355845e-7
LMNA,ENSE00001913839,non_canonical,53,22,8.778298370201038e-15,4.1341733801322186e-11,4.1341733801322186e-11
LONP1,ENSE00002744653,non_canonical,3,7,1.2095833028515283e-5,0.00570535655884298,0.00570535655884298
LPL,ENSE00001206552,canonical,16,38,2.9985954271206917e-5,0.01219030587184842,0.01219030587184842
LZTR1,ENSE00001813266,non_canonical,8,16,6.323145123626675e-6,0.00327746329299161,0.00327746329299161
MACF1,ENSE00003928054,non_canonical,9,10,3.2191610516013646e-14,1.4281877987191447e-10,1.4281877987191447e-10
MAP2K1,ENSE00003924647,non_canonical,6,4,1.2967043992186358e-5,0.00604181355690728,0.00604181355690728
MAP2K2,ENSE00003654028,non_canonical,9,19,9.536470210952804e-7,6.314690704909123e-4,6.314690704909123e-4
MAP3K7,ENSE00003980256,non_canonical,3,0,5.794721974068624e-6,0.00306899704273682,0.00306899704273682
MAPT,ENSE00003990497,non_canonical,7,3,5.691253210360644e-9,7.708878021042478e-6,7.708878021042478e-6
MAST1,ENSE00002834266,non_canonical,5,7,1.0947015850780658e-5,0.00525419906888677,0.00525419906888677
MECP2,ENSE00001864109,non_canonical,39,21,1.3114242997601476e-16,8.363608471720341e-13,8.363608471720341e-13
MED13L,ENSE00003839119,non_canonical,10,10,1.6272333920122357e-8,1.926465158380849e-5,1.926465158380849e-5
MEF2C,ENSE00002026825,non_canonical,20,4,2.3273087233792954e-13,9.374154557906184e-10,9.374154557906184e-10
MEIS2,ENSE00002542916,non_canonical,6,1,5.6960775350312105e-11,1.3949466040190038e-7,1.3949466040190038e-7
MEN1,ENSE00003895360,non_canonical,34,28,1.6707095393250365e-5,0.0074990851052519,0.0074990851052519
MET,ENSE00004014109,non_canonical,5,6,3.922123971017247e-6,0.00217794268348767,0.00217794268348767
MFN2,ENSE00003899990,non_canonical,0,36,7.174171131850717e-10,1.2843024952527146e-6,1.2843024952527146e-6
MFRP,ENSE00003594772,canonical,5,0,1.0248473937572072e-9,1.7625072144772825e-6,1.7625072144772825e-6
MITF,ENSE00003928888,non_canonical,10,1,3.524217567128371e-15,1.9264883600881017e-11,1.9264883600881017e-11
MLH1,ENSE00003562790,non_canonical,2,70,6.12016920548525e-6,0.00321768046673395,0.00321768046673395
MMAB,ENSE00002202468,non_canonical,12,18,2.335849693939216e-9,3.5574642204411585e-6,3.5574642204411585e-6
MNX1,ENSE00003526167,non_canonical,5,7,8.74132463688689e-5,0.02999881499824904,0.02999881499824904
MORC2,ENSE00003502149,non_canonical,6,4,2.3279895613595233e-6,0.00138646724615443,0.00138646724615443
MPZ,ENSE00002145910,non_canonical,20,9,1.6639266467473936e-10,3.717965146732205e-7,3.717965146732205e-7
MSH2,ENSE00003824769,non_canonical,33,32,1.4863591977365517e-15,8.272805047474785e-12,8.272805047474785e-12
MSH6,ENSE00003847463,canonical,9,17,9.994015056038815e-5,0.03329018377534932,0.03329018377534932
MTOR,ENSE00001846408,non_canonical,6,2,3.70174408389596e-8,3.990063024514899e-5,3.990063024514899e-5
MYH9,ENSE00001802693,non_canonical,9,32,6.589055527065657e-5,0.02361875501106954,0.02361875501106954
MYO15A,ENSE00002311321,canonical,5,672,1.23876810318746e-9,2.044478765064036e-6,2.044478765064036e-6
MYOT,ENSE00001196180,canonical,6,38,5.8114426372017384e-5,0.02142680442291734,0.02142680442291734
MYT1L,ENSE00001929052,non_canonical,7,0,1.6020412341767444e-10,3.606006342692537e-7,3.606006342692537e-7
NAA10,ENSE00001842041,canonical,18,3,1.0947881197130566e-6,7.145768426579124e-4,7.145768426579124e-4
NALCN,ENSE00003901132,non_canonical,6,0,1.490415502140361e-9,2.413999965688928e-6,2.413999965688928e-6
NF1,ENSE00003936354,non_canonical,36,12,1.5343677632394863e-9,2.453435325010182e-6,2.453435325010182e-6
NFE2L2,ENSE00003976276,non_canonical,5,22,9.55083560816975e-7,6.314690704909123e-4,6.314690704909123e-4
NFIB,ENSE00001910446,non_canonical,7,21,7.751434210605475e-7,5.380655420749542e-4,5.380655420749542e-4
NIPBL,ENSE00003521407,non_canonical,8,14,2.162341572503547e-6,0.00129284375424762,0.00129284375424762
NOTCH1,ENSE00003913226,non_canonical,4,12,4.065443856574766e-5,0.01585367736783016,0.01585367736783016
NR2F1,ENSE00003824398,non_canonical,45,1,4.507355390019908e-14,1.94336849576464e-10,1.94336849576464e-10
NR3C2,ENSE00002055689,non_canonical,0,215,5.709423235296698e-7,4.181264690882836e-4,4.181264690882836e-4
NR4A2,ENSE00003979218,non_canonical,8,4,9.535654904481194e-9,1.1963338849835178e-5,1.1963338849835178e-5
NSD1,ENSE00003925502,non_canonical,32,13,5.2210666713339835e-18,4.5664940840821695e-14,4.5664940840821695e-14
OPA1,ENSE00001889917,non_canonical,11,9,1.1094620009795326e-7,1.0008811830480192e-4,1.0008811830480192e-4
PACS2,ENSE00002380384,non_canonical,2,4,8.291828126986591e-5,0.02858439669181459,0.02858439669181459
PAK1,ENSE00002147596,non_canonical,11,5,1.1899279617262684e-4,0.03830291773329603,0.03830291773329603
PANK2,ENSE00001481494,canonical,0,135,2.791594451895573e-9,4.128323157556874e-6,4.128323157556874e-6
PAX2,ENSE00002450135,non_canonical,14,8,1.1998255545806882e-6,7.667862187228398e-4,7.667862187228398e-4
PAX3,ENSE00003818404,non_canonical,33,8,1.0031226265425591e-24,2.5589658203100692e-20,2.5589658203100692e-20
PAX6,ENSE00002175000,non_canonical,53,14,6.1090109762513826e-27,1.7000822182273394e-22,1.7000822182273394e-22
PAX8,ENSE00003561996,non_canonical,6,17,1.7812994801695564e-5,0.00786856272538967,0.00786856272538967
PAX9,ENSE00002513824,non_canonical,11,14,7.84980436921866e-7,5.436611116527638e-4,5.436611116527638e-4
PBX1,ENSE00002567841,non_canonical,3,0,1.2087221389547016e-5,0.00570535655884298,0.00570535655884298
