gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,odds_ratio,avg_rank_score
CRX,ENSE00000715918,canonical,12,21,4.158790700435813e-8,3.996729251187796e-5,Inf,127
NFIX,ENSE00002838696,non_canonical,30,17,6.456085758383601e-11,1.419289835308298e-7,72.10703237438814,127.5
GRIN2B,ENSE00003764627,non_canonical,27,2,1.1524232763596968e-14,5.190478423496688e-11,48.245571709413824,130
PAX2,ENSE00002433876,non_canonical,14,13,1.4307537337535164e-9,2.1763189705187736e-6,82.86126807244575,138
COL6A2,ENSE00003511430,non_canonical,14,4,9.731300287308904e-13,3.116762481131045e-9,47.143722290463664,140
SMARCE1,ENSE00003815253,non_canonical,6,1,2.3536625477740873e-8,2.5127875705410067e-5,285.61153856685286,140.5
SKI,ENSE00001477855,canonical,15,93,8.836724978658639e-8,7.765918664628864e-5,Inf,140.5
MAPT,ENSE00003990497,non_canonical,7,3,1.0711514442383673e-8,1.2350547536299454e-5,141.90451647231401,142
DNAJB6,ENSE00001663093,non_canonical,6,6,1.1757909810482489e-7,9.910130217867893e-5,Inf,145.5
TNFRSF1A,ENSE00002271152,non_canonical,12,7,5.4588610867166214e-11,1.2488401140400103e-7,50.86014915317648,146
MACF1,ENSE00001946076,non_canonical,3,3,3.752228595548958e-8,3.755537852713088e-5,1859.4994311075527,146
GABRG2,ENSE00002093854,non_canonical,8,0,1.379970889223569e-7,1.1173655300625018e-4,Inf,148.5
GNAO1,ENSE00003811073,non_canonical,21,3,2.830224117173711e-12,8.867645898606422e-9,36.79852466309212,157
COL6A1,ENSE00002473380,canonical,12,4,5.698426360268622e-11,1.283276712541306e-7,41.75316807222219,160
HECW2,ENSE00003830655,non_canonical,8,3,3.38979543623681e-9,4.362152203915203e-6,68.81338464867775,165
PAX3,ENSE00003818404,non_canonical,33,8,2.1567935190601377e-17,2.0723478634772032e-13,28.85134587967105,167
CAMTA1,ENSE00001317856,non_canonical,3,0,5.597713334103032e-7,4.0138389537525755e-4,Inf,168.5
KCNN2,ENSE00003534801,non_canonical,4,1,1.397192892843078e-7,1.1249900562390742e-4,497.75945200932495,173
RNF213,ENSE00003656527,non_canonical,6,12,1.4478747012779306e-8,1.6302956021178462e-5,72.40918280228341,173
TWNK,ENSE00003835076,non_canonical,12,25,7.473360034082544e-7,5.129109341105785e-4,Inf,174.5
MTOR,ENSE00001846408,non_canonical,6,2,4.159591108384753e-8,3.996729251187796e-5,106.34430536806785,174.5
GRIN2D,ENSE00001131295,canonical,7,8,8.796866535381582e-9,1.0307853521503588e-5,64.12961615799686,177
SPAST,ENSE00003823726,non_canonical,38,5,3.4349186019695973e-16,2.2502932424821463e-12,27.38204749217275,180
KCNH2,ENSE00003917466,non_canonical,10,2,5.516330375101562e-9,6.974141648879498e-6,50.70379825652697,186
RYR1,ENSE00003929854,non_canonical,16,12,6.784868659603632e-12,1.8805437794282553e-8,28.92012393066681,187.5
RNF213,ENSE00003529999,non_canonical,7,22,7.68171644901716e-9,9.149940054937984e-6,53.75144522724811,188
GNAS,ENSE00001595898,non_canonical,11,5,2.765142199929735e-10,4.860142071332597e-7,34.89564949708691,189
CIC,ENSE00003919718,non_canonical,4,3,3.528469413324239e-7,2.6213799542999105e-4,189.05099543528368,189
PTPN11,ENSE00003785405,non_canonical,28,5,1.0242322751584093e-11,2.68399136585011e-8,29.023838388752303,190
POLR2A,ENSE00003740422,canonical,7,2,4.137738774437243e-8,3.996729251187796e-5,72.13526718742666,191.5
DEAF1,ENSE00002176029,non_canonical,19,10,6.261841835592223e-12,1.8050009564768005e-8,27.792954453674547,193
NSD1,ENSE00003925601,non_canonical,15,3,1.5042736425601601e-10,2.890752630416909e-7,32.23146472474065,194
AUTS2,ENSE00003596844,non_canonical,7,17,2.7333928135438923e-08,2.854751493026381e-5,62.07449945401193,195
IHH,ENSE00001075357,canonical,11,11,5.837361466005248e-9,7.315838226182073e-6,43.168184885468,196
MFN2,ENSE00003899537,non_canonical,24,2,1.3710550907728066e-10,2.7069322886001686e-7,30.875355940234023,197.5
IKZF1,ENSE00003600388,non_canonical,6,3,2.3094771810048648e-7,1.7895592347671405e-4,110.05248747001382,199
GABRB3,ENSE00002439631,non_canonical,16,2,2.00383511475849e-9,2.7505404150933036e-6,37.17669055886603,200
ARID1A,ENSE00001698973,non_canonical,10,13,4.5309372528658244e-10,7.652737583315611e-7,32.29392600843683,200.5
STK11,ENSE00002753065,non_canonical,22,17,5.617361535279607e-14,2.130561752619063e-10,24.765028228905862,201
KCNQ4,ENSE00003677491,non_canonical,9,7,6.626607982174944e-9,7.958942738724402e-6,42.619369783870354,201
UMOD,ENSE00002655741,non_canonical,35,45,3.694211173968382e-12,1.132841646533066e-8,25.470208396253437,204
GNAO1,ENSE00002608901,non_canonical,13,1,3.0835351821178055e-8,3.1972710445546256e-5,53.62028001706113,204
RAF1,ENSE00001666451,non_canonical,24,11,3.2666351226051925e-14,1.3078064453214405e-10,23.756969364145945,205
HCN1,ENSE00003798225,non_canonical,13,4,8.974798415385121e-10,1.4533828890047317e-6,31.81979746020817,206
FBXO11,ENSE00003922358,non_canonical,6,0,3.520601387436944e-6,0.0019441138550464537,Inf,206.5
MYT1L,ENSE00003836197,non_canonical,9,5,9.864901823763729e-9,1.1466118589948345e-5,37.668236446799455,211
BRCA1,ENSE00003683848,non_canonical,20,4,8.419627931555028e-12,2.28961455639855e-8,24.112166386724002,212
RYR2,ENSE00004022481,non_canonical,9,1,1.0545673482545427e-7,9.047120726302529e-5,62.643200124212065,218
GABBR2,ENSE00003785715,non_canonical,8,12,8.141924965633213e-8,7.243649503221099e-5,56.981985715008896,219
CALM2,ENSE00003570398,non_canonical,10,2,3.1101698068369756e-7,2.334684602864546e-4,74.32014688051164,219
CELF2,ENSE00001714529,non_canonical,5,2,5.4976470070809675e-6,0.0028502135618329446,Inf,219.5
SH3BP2,ENSE00004023890,non_canonical,5,17,5.994889334305335e-6,0.0030748235412292706,Inf,222.5
KCNQ1,ENSE00004020984,canonical,21,3,1.3687851239466694e-10,2.7069322886001686e-7,23.771533780992737,228.5
NSD1,ENSE00003923942,non_canonical,17,5,6.499346349424304e-11,1.419289835308298e-7,22.513303161747587,231.5
TRIO,ENSE00002086579,non_canonical,5,4,4.4475617945289806e-7,3.237443125050901e-4,70.54028573039922,232
BMPR2,ENSE00003482012,non_canonical,19,10,1.2227942783115193e-11,3.091888964038672e-8,21.496900496212408,232
KMT2D,ENSE00003931838,non_canonical,10,11,1.3360051555811947e-9,2.092982772374466e-6,26.373043315717688,234
CREBBP,ENSE00002640954,non_canonical,15,5,1.8736300218743641e-10,3.547259949249063e-7,23.61404868990438,234.5
FBN2,ENSE00002052781,non_canonical,6,12,1.2705706776519448e-7,1.0345962715137958e-4,49.71707654829599,236
U2AF2,ENSE00002826846,non_canonical,5,0,1.0253570806033206e-5,0.004926054665203826,Inf,236.5
YY1,ENSE00003754928,non_canonical,23,4,1.9852435147573164e-10,3.6682973339926634e-7,22.587829122788484,240
CARD11,ENSE00003974283,non_canonical,8,15,5.139784858232755e-8,4.8735642912007384e-5,36.435189108773,241
MYOC,ENSE00001852498,canonical,17,85,1.186306969693853e-5,0.005515447245840837,Inf,242
DNMT1,ENSE00002853940,non_canonical,4,5,3.1095042925465064e-6,0.0017703556078801116,120.949681215866,243.5
CDK13,ENSE00003520262,non_canonical,5,1,2.1351589819745564e-6,0.0013046765338677593,98.27639913644578,244
DDX6,ENSE00003563747,non_canonical,5,0,1.2264177389061776e-5,0.00566538171331188,Inf,244.5
AFF3,ENSE00001885964,non_canonical,9,47,3.756884688694735e-7,2.776761638602595e-4,54.36542701288865,245
GATA2,ENSE00001744437,non_canonical,19,6,1.090821595496388e-9,1.7468538232678655e-6,23.534887231295762,245
CREBBP,ENSE00003796737,non_canonical,8,1,5.70132763538387e-7,4.067897267846391e-4,57.254375765108726,249
HECW2,ENSE00003831152,non_canonical,8,6,5.6003422302165733e-8,5.1411498383084334e-5,34.492293112498665,252
KCNC2,ENSE00002336657,non_canonical,8,25,1.8979816671854236e-5,0.008264362650949654,Inf,258.5
BPTF,ENSE00003585085,non_canonical,3,6,1.9238274271831325e-5,0.008351670951735642,Inf,259.5
CDK13,ENSE00003826183,non_canonical,7,4,2.2457246266772596e-7,1.7495651528060183e-4,36.96244743010896,261
TNNI3,ENSE00002792787,non_canonical,20,13,1.4019193400102089e-8,1.5909797536822943e-5,25.809140540595095,264
APP,ENSE00001948125,non_canonical,5,17,2.433288409991167e-5,0.010284532512222786,Inf,265.5
KIF5C,ENSE00003904957,non_canonical,3,2,2.861197582860276e-5,0.01174859897506846,Inf,273
KMT2B,ENSE00002213924,non_canonical,3,3,1.1303526809411354e-5,0.005323998066862844,147.10494852852173,273
HR,ENSE00001813128,non_canonical,2,0,2.858776443682107e-5,0.01174859897506846,Inf,273
RPGR,ENSE00003823851,non_canonical,4,0,2.9344719851818076e-5,0.01201524556273575,Inf,274.5
INF2,ENSE00003903854,canonical,20,39,9.851496903378561e-12,2.629382767024522e-8,13.596736000218165,276
MAST1,ENSE00001741199,canonical,4,4,5.8809967359788e-6,0.0030380301669047185,78.2425288860964,276
KCNQ4,ENSE00003472039,non_canonical,6,3,1.2794204262782388e-6,8.195512345697944e-4,46.94701908827242,279
REEP1,ENSE00003701689,non_canonical,3,0,3.7464970252813584e-5,0.014916336374660949,Inf,280.5
KCNT1,ENSE00003903583,non_canonical,10,8,2.3272989858030567e-8,2.5127875705410067e-5,22.97146020612209,281.5
MORC2,ENSE00003502149,non_canonical,6,4,1.5580169412998472e-6,9.720879121156843e-4,47.970656980663456,282
SMAD3,ENSE00003914196,non_canonical,17,8,2.502311948327722e-9,3.3705674222114916e-6,19.29652651227189,282
TPM1,ENSE00002559184,non_canonical,6,0,3.8181240231585546e-5,0.015076568796870492,Inf,282.5
NFKB1,ENSE00002055243,non_canonical,3,5,3.9578489091178886e-5,0.015585598079902566,Inf,284.5
GNAI3,ENSE00001781395,canonical,5,4,9.21299788299893e-6,0.00451646852341152,96.37935519053859,285
TCOF1,ENSE00003834943,non_canonical,3,4,1.6247158102403286e-5,0.007227327641435427,142.3990676848107,286
TUBB4A,ENSE00001159938,canonical,38,51,1.9714447199480596e-9,2.7321001264610962e-6,17.607361528085182,286
TGFBR2,ENSE00003892927,non_canonical,27,3,2.184387898066546e-8,2.403276905226237e-5,21.633616691443308,287
MNX1,ENSE00003526167,non_canonical,5,7,5.0754244306440885e-6,0.002679508047309306,63.90099764393501,288
LRSAM1,ENSE00003899269,non_canonical,4,15,4.7381751754460297e-5,0.01816220674232739,Inf,290.5
GNAS,ENSE00001853360,non_canonical,7,3,6.09950490193326e-7,4.305138110600702e-4,34.37801305426029,291
COL11A1,ENSE00003788304,non_canonical,5,2,4.345963737488368e-6,0.0023028335132095077,57.818610379291734,293
PHF3,ENSE00000757767,canonical,10,249,5.195330146292532e-5,0.01960176303651057,Inf,294.5
ITPR1,ENSE00001929326,non_canonical,7,3,8.481151719245813e-7,5.685409087626704e-4,33.93711822418462,299
FGF13,ENSE00001124987,canonical,5,4,5.9468745870225995e-5,0.021920848941273816,Inf,301.5
SOS2,ENSE00002494482,non_canonical,5,9,1.350512793055905e-5,0.006159663206480013,74.88597598641762,303
SPTAN1,ENSE00003774680,non_canonical,8,8,2.1812728471122233e-7,1.7179252001953192e-4,26.447781262199314,303
F2,ENSE00001227030,canonical,5,14,6.366717926192434e-5,0.023046610490310784,Inf,304.5
TUBB3,ENSE00002432231,non_canonical,35,48,1.4218451115465061e-9,2.1763189705187736e-6,13.219752493596879,308
BRAF,ENSE00003819317,non_canonical,20,5,6.460931364458826e-9,7.868900296495789e-6,16.191101989470088,308.5
CBS,ENSE00001905316,non_canonical,9,0,6.820465199541973e-5,0.02433200959936599,Inf,309
FGFR3,ENSE00003741759,non_canonical,7,9,7.830058577330134e-7,5.315860753145478e-4,29.721728397599794,309
FUS,ENSE00001821991,non_canonical,6,8,3.6140896004951435e-6,0.001979402037908498,40.828459014260716,310
GRIN2B,ENSE00003963149,non_canonical,30,11,1.1202539514334275e-10,2.2740681867358537e-7,9.870311196007274,311
ITPR1,ENSE00001874895,non_canonical,10,8,5.375635242092709e-8,5.063883532922195e-5,19.98260732073902,312
KDM3B,ENSE00003526737,canonical,4,4,1.0978572655189387e-5,0.005202860558856242,63.62181742535456,312.5
SMARCA2,ENSE00001776828,non_canonical,12,8,3.696199906410614e-8,3.7253300972814167e-5,17.819054854345957,316
TGFBI,ENSE00003562022,non_canonical,4,7,1.6943950406877974e-5,0.007468136820465142,72.63449504905695,317
PBX1,ENSE00002567841,non_canonical,3,0,8.231468905626219e-5,0.0287258333888908,Inf,317.5
PAX6,ENSE00003808169,non_canonical,24,11,5.322528877128697e-10,8.717274084930998e-7,11.099344152289712,318
NR4A2,ENSE00003979218,non_canonical,8,4,1.3633382951536355e-6,8.694418516177347e-4,29.206590174428545,319
CDK13,ENSE00003816935,non_canonical,5,2,7.17933633832841e-6,0.0035815293382485576,49.20431393957158,319.5
WT1,ENSE00003841772,non_canonical,11,2,5.837332100497708e-7,4.1444195253617395e-4,26.64184672892556,320
MEF2C,ENSE00002026825,non_canonical,20,4,5.485188287368457e-8,5.067716232650985e-5,18.55708234684052,321.5
PKD1,ENSE00001881431,non_canonical,18,28,2.720624879508266e-10,4.860142071332597e-7,9.574049434070416,322
MED13L,ENSE00003839119,non_canonical,10,10,7.23111605070201e-8,6.513744143997054e-5,19.331601510639324,323
EXT1,ENSE00003917764,non_canonical,13,9,2.6873992977008923e-8,2.827202909341142e-5,16.100439794959716,325
BCL11A,ENSE00001810111,non_canonical,3,1,5.250256450758981e-5,0.019633054473997213,137.72982912732365,332
GRIN2B,ENSE00003769706,non_canonical,17,3,6.103636218737975e-8,5.567713780367393e-5,17.566882815448658,332
VWF,ENSE00001749068,canonical,63,194,2.357965588962011e-15,1.2586907645938065e-11,4.697221819995322,334.5
SCN1A,ENSE00001931548,non_canonical,18,0,1.1321228780312214e-4,0.03733855241235832,Inf,334.5
RUNX2,ENSE00003676933,non_canonical,11,12,6.636780673620816e-8,6.0159703657040714e-5,17.470333687464134,335
PDGFRB,ENSE00003469927,canonical,5,8,6.511054175523672e-6,0.0033095445317764243,36.478528932999176,335
FOXP1,ENSE00003834493,non_canonical,7,4,2.505063809477214e-6,0.0014763661175087876,28.89150096518445,335
RUNX1,ENSE00003488338,non_canonical,10,8,2.5086810789407963e-7,1.913061787642858e-4,20.09549802745238,336
RPGR,ENSE00001915046,non_canonical,10,9,1.1063393809041227e-7,9.435111003051391e-5,17.872525091182638,336
SOX5,ENSE00002300020,non_canonical,7,2,5.409864308099213e-6,0.0028250272214978816,34.555037166571594,336
HUWE1,ENSE00001854675,non_canonical,8,3,1.3763529977678198e-6,8.700422303038708e-4,26.530014793663305,337
SMARCA4,ENSE00002755975,non_canonical,11,4,2.3257777501394866e-7,1.7925527796489507e-4,19.904653084651653,337
MAP3K7,ENSE00003980256,non_canonical,3,0,1.236858379715524e-4,0.040149704435418765,Inf,340.5
HNF1A,ENSE00003592411,non_canonical,35,17,4.5663576718112674e-10,7.652737583315611e-7,7.350009153017403,343.5
GCNT2,ENSE00001587597,non_canonical,3,23,1.3674177997826853e-4,0.043505921684167566,Inf,347
IMPDH1,ENSE00001903979,non_canonical,8,9,1.5801924486858577e-6,9.816741252230458e-4,25.25752769932324,347
RHEB,ENSE00003464369,canonical,4,0,1.3670539986329472e-4,0.043505921684167566,Inf,347
AIRE,ENSE00002196264,canonical,10,16,2.3433514180434285e-7,1.7964904778103468e-4,17.835315438750598,348
BAP1,ENSE00001126025,non_canonical,4,1,4.838068944701763e-5,0.018398320918021925,75.02347440456609,348
RYR2,ENSE00004022523,non_canonical,8,2,3.354929288675119e-6,0.0018769587323799865,27.419324506939233,349.5
MSH2,ENSE00003824769,non_canonical,33,32,1.2134080330634592e-9,1.921811643750958e-6,7.187309178606649,350
ATP6V0C,ENSE00002590649,non_canonical,9,2,1.4505030757583649e-5,0.006553500213160685,38.08184367471664,351
LONP1,ENSE00002744653,non_canonical,3,7,7.407072685564958e-5,0.02622995491283589,127.46713590981693,351
SMCHD1,ENSE00003935666,non_canonical,9,14,4.2741391910017956e-7,3.126999285185359e-4,19.298471297055972,352
MET,ENSE00004014109,non_canonical,5,6,1.1010237293853017e-5,0.005202860558856242,35.02673333329178,353.5
DNAH11,ENSE00003697945,canonical,4,13,1.5246025158968958e-5,0.006866762087770997,37.31823780387481,354
BRCA1,ENSE00003575366,non_canonical,19,9,1.3077257528977993e-8,1.4958618221261993e-5,10.023512758635718,354
SASH1,ENSE00000765048,canonical,5,14,9.608869436756716e-6,0.004678707855781875,33.40043894622335,356
GABRG2,ENSE00003802864,non_canonical,9,3,2.5039058074929197e-6,0.0014763661175087876,24.00712742055913,358
KCNQ2,ENSE00003774638,non_canonical,40,30,1.8951273258458017e-10,3.547259949249063e-7,5.428498672802443,359.5
DDX3X,ENSE00003818061,non_canonical,15,2,1.1183442074423548e-6,7.227963927625303e-4,20.940346253961962,360
DSPP,ENSE00001313251,canonical,2,2,1.1718696129597552e-4,0.03829887793810672,330.81588331289873,363
BEST1,ENSE00003553106,non_canonical,37,19,1.4345008374508835e-9,2.1763189705187736e-6,6.344201104249509,363
RPGR,ENSE00001931843,non_canonical,8,6,1.1706469814365918e-6,7.532224888103199e-4,20.033064147235873,364
HNRNPA1,ENSE00002356700,non_canonical,17,13,7.65063230383845e-8,6.848836534505121e-5,13.083898642774198,364
CYFIP2,ENSE00002102960,non_canonical,6,5,1.0150969425308843e-5,0.004893072810573537,31.408657486880884,365
STAT6,ENSE00001533101,non_canonical,3,2,9.027220943589059e-5,0.031125987390829193,112.35753760656374,365
GNAS,ENSE00003917404,non_canonical,11,13,1.0159229318476482e-7,8.820597855325663e-5,13.350230906276618,366
GABRB3,ENSE00003598720,non_canonical,9,1,1.593243472992806e-5,0.007131347889193607,33.16276115085672,372.5
INF2,ENSE00003900477,non_canonical,12,19,9.334318231700965e-8,8.153498689577969e-5,12.066194551001898,376
DYRK1A,ENSE00003817724,non_canonical,3,1,1.1552320328968553e-4,0.03784093800121024,126.60949599894242,377
AGO1,ENSE00003789507,non_canonical,5,4,6.376510842671082e-5,0.023046610490310784,62.57903295819915,380
AR,ENSE00003902890,non_canonical,28,10,2.4113644197787665e-8,2.5554611744812816e-5,7.5215566715844036,382
NIPBL,ENSE00003521407,non_canonical,8,14,1.460530152208458e-6,9.19221961778814e-4,17.598104470221404,384
OPA1,ENSE00003820465,non_canonical,11,9,4.7279585150679885e-7,3.424253652769869e-4,14.013366582297074,387
RUNX2,ENSE00003677265,non_canonical,8,7,2.509659527983327e-6,0.0014763661175087876,18.242930484561672,388
TBX4,ENSE00002833355,non_canonical,4,11,8.620030083299351e-5,0.029793263209009244,65.3763109623564,390
ABCC8,ENSE00003917436,non_canonical,16,14,8.202565525767186e-8,7.252829211854277e-5,8.951844495103208,390
EZH2,ENSE00003922375,canonical,15,7,7.67096180448079e-7,5.239775886229397e-4,14.80694423769183,391
PTEN,ENSE00001893700,non_canonical,85,11,2.269244122537305e-8,2.4777223306737434e-5,6.406017058193089,392
STAT1,ENSE00003972849,non_canonical,9,1,2.707841000656318e-5,0.011247060515896056,32.41520787455778,393
HNF1A,ENSE00003509687,non_canonical,25,10,5.4597577649387045e-8,5.067716232650985e-5,7.8188696543955425,394.5
RPGR,ENSE00001869284,non_canonical,7,5,5.1866998754604635e-6,0.002728260923176971,20.350633199131874,395
CACNA1A,ENSE00003792703,non_canonical,14,7,2.804876703534894e-7,2.116536464138082e-4,11.218659390692451,397
SCN1A,ENSE00001925663,non_canonical,79,12,5.933207292632106e-9,7.3718566160792025e-6,5.015303357298421,397
ATRX,ENSE00003560102,non_canonical,7,2,1.40475260063966e-5,0.006366754027433719,26.173547256888988,400
PDHA1,ENSE00001953488,non_canonical,22,4,7.027976986769361e-7,4.8465131060866396e-4,12.256830778867814,406
TGFBR1,ENSE00004023676,non_canonical,7,2,2.81015788355622e-5,0.011605146856255223,29.168049012295985,406
RAC1,ENSE00003968019,canonical,15,1,4.8943851236253525e-5,0.01852423148207309,35.38784100287278,406.5
KDM6A,ENSE00001849545,non_canonical,4,2,7.601768312354669e-5,0.02685343288124366,46.80900174252127,409
PHIP,ENSE00003978906,non_canonical,5,2,5.2489150328871006e-5,0.019633054473997213,35.80059124411924,409
NF1,ENSE00003936354,non_canonical,36,12,3.8233959763796846e-8,3.800376495777068e-5,5.72803010247762,409
KCNQ3,ENSE00003621322,non_canonical,4,8,6.81777368241752e-5,0.02433200959936599,41.132139076816635,409.5
GNAS,ENSE00003920069,non_canonical,4,1,1.047452785374353e-4,0.03510842502270916,55.78243817645975,410
OPA1,ENSE00001929200,non_canonical,9,6,2.595600397106741e-6,0.001520715847291883,15.925847818244307,410
GLI3,ENSE00001853445,non_canonical,4,21,8.151242680722806e-5,0.02858383941704653,41.81824251204622,414.5
PRPH2,ENSE00000751440,canonical,80,43,1.4647055784368101e-8,1.6364621775454428e-5,4.063900176755536,415
KMT2D,ENSE00003920995,non_canonical,6,8,8.394996329711865e-6,0.0041436494383985684,19.67256486000095,416
GABRB2,ENSE00003737234,non_canonical,26,11,3.8996311812577085e-7,2.8675619554139275e-4,8.603031569923665,418
CHD7,ENSE00002150642,non_canonical,7,20,6.01949898110562e-6,0.0030764976228716654,17.74533178291219,418
CTCF,ENSE00003824919,canonical,16,5,1.5197522811832624e-6,9.523362479569567e-4,12.755558063158801,419
KCNT1,ENSE00003770259,non_canonical,9,12,2.4485886775099706e-6,0.001458296447617684,13.104365970341194,421
SCN8A,ENSE00003791800,non_canonical,17,2,3.6041572105807463e-6,0.001979402037908498,15.201340261227942,422
COL6A1,ENSE00002514254,canonical,6,3,2.0770256637249974e-5,0.00890948456664495,23.832501680213916,423
THRB,ENSE00003824267,non_canonical,17,9,8.890202051088425e-7,5.932028476931581e-4,9.591503042646158,427
NOTCH1,ENSE00003913226,non_canonical,4,12,5.6494070011736105e-5,0.020931416011777608,31.234338598350032,431
IQSEC2,ENSE00003899419,non_canonical,5,4,4.287827168025393e-5,0.016612679200161178,28.07883020412527,431
ATP7B,ENSE00003897217,non_canonical,40,57,4.157146378066069e-8,3.996729251187796e-5,3.761445527432712,431.5
CDAN1,ENSE00003816249,non_canonical,4,26,1.0839713652173418e-4,0.036248153353754024,38.164287846824784,432
ZBTB20,ENSE00003899242,canonical,30,29,1.985910080798956e-7,1.5813439901398406e-4,6.136135319696165,432
WT1,ENSE00003844206,non_canonical,18,13,6.972494898708096e-7,4.8313690974331817e-4,7.834714958334653,433
SCN8A,ENSE00003793646,non_canonical,13,1,2.6507310581907423e-5,0.011073678702140786,22.621340131766882,435
TNNT2,ENSE00001881035,non_canonical,11,8,2.9200814867381195e-6,0.0016700896207900988,12.175841678076253,435
BRAF,ENSE00003829438,non_canonical,13,3,5.3632693540092085e-6,0.002810879717037401,14.403125462952183,436
CACNA1C,ENSE00003571437,non_canonical,5,3,5.2538803339085314e-5,0.019633054473997213,28.316273280001873,437
DHX30,ENSE00003561641,non_canonical,6,7,2.3394673343845077e-5,0.009946324734596931,21.93974705616712,437
COL7A1,ENSE00003541804,non_canonical,28,18,1.217975284983381e-7,1.0031035651359986e-4,5.204230490264897,438
HNRNPA1,ENSE00003905084,non_canonical,10,4,7.181596638754939e-6,0.0035815293382485576,15.936405502402865,438.5
TP63,ENSE00003678146,non_canonical,10,3,9.482039155075819e-6,0.00463260290611394,15.997317555718174,442
